Galaxy,R,Vobs,Vgas,Vdisk,Vbul,T,L36,R_disk,Vflat,MHI,Q,M_star,M_gas,M_bar,f_gas,Sigma_bar,D_spatial,eta,L_chi,x,M_hist,g_hist,V_bar_sq,V_flux,residual,abs_res,A_T,D_total_v3p_T,V_flux_v3p_T,res_v3p_T,abs_res_v3p_T,V_flux_v3o_recomputed,res_v3o_recomputed,abs_res_v3o_recomputed
CamB,0.16,1.99,1.86,3.75,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.0408225905463474,28168047.32965478,0.6716263496388193,68.10162272531323,23.1706068463508,0.0069053003687384,3058455.612027906,513.833684622146,10.49085,9.62830408428937,7.63830408428937,7.63830408428937,-0.5,0.9164899908059096,4.568100143670301,2.5781001436703006,2.5781001436703006,9.62830408428937,7.63830408428937,7.63830408428937
CamB,0.41,4.84,4.24,9.47,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.0408225905463474,28168047.32965478,0.6716263496388193,68.10162272531323,23.1706068463508,0.0176948321948922,10955157.644048523,280.2923680122828,62.81805000000001,13.331838616073776,8.491838616073776,8.491838616073776,-0.5,0.9164899908059096,8.783822233135172,3.9438222331351724,3.9438222331351724,13.331838616073776,8.491838616073776,8.491838616073776
CamB,0.57,6.79,5.61,11.76,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.0408225905463474,28168047.32965478,0.6716263496388193,68.10162272531323,23.1706068463508,0.0246001325636307,17106656.233689707,226.45179705151855,100.6209,15.155804971012447,8.365804971012448,8.365804971012448,-0.5,0.9164899908059096,10.798639459150579,4.0086394591505785,4.0086394591505785,15.155804971012447,8.365804971012448,8.365804971012448
CamB,0.73,8.87,6.77,13.72,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.0408225905463474,28168047.32965478,0.6716263496388193,68.10162272531323,23.1706068463508,0.0315054329323692,23891546.021198988,192.82302345287096,139.9521,16.75448916322416,7.884489163224162,7.884489163224162,-0.5,0.9164899908059096,12.540715882150089,3.6707158821500894,3.6707158821500894,16.75448916322416,7.884489163224162,7.884489163224162
CamB,0.9,10.9,7.77,14.8,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.0408225905463474,28168047.32965478,0.6716263496388193,68.10162272531323,23.1706068463508,0.0388423145741538,31680122.83215326,168.2140210988102,169.8929,17.9244391540971,7.0244391540971005,7.0244391540971005,-0.5,0.9164899908059096,13.725418925398886,2.8254189253988855,2.8254189253988855,17.9244391540971,7.0244391540971005,7.0244391540971005
CamB,1.06,12.9,8.44,15.24,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.0408225905463474,28168047.32965478,0.6716263496388193,68.10162272531323,23.1706068463508,0.0457476149428922,39481824.17742319,151.12831294314802,187.36239999999998,18.64291854082233,5.742918540822329,5.742918540822329,-0.5,0.9164899908059096,14.380764355011005,1.4807643550110043,1.4807643550110043,18.64291854082233,5.742918540822329,5.742918540822329
CamB,1.22,14.7,8.64,15.11,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.0408225905463474,28168047.32965478,0.6716263496388193,68.10162272531323,23.1706068463508,0.0526529153116307,47687176.56931167,137.7978060862122,188.80565,18.892299315466577,4.1922993154665775,4.1922993154665775,-0.5,0.9164899908059096,14.45972125059205,-0.24027874940794902,0.24027874940794902,18.892299315466577,4.1922993154665775,4.1922993154665775
CamB,1.47,16.8,8.08,15.9,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.0408225905463474,28168047.32965478,0.6716263496388193,68.10162272531323,23.1706068463508,0.0634424471377845,61222273.00315458,121.85269386922003,191.6914,19.2565536892704,2.4565536892704003,2.4565536892704003,-0.5,0.9164899908059096,14.597786347683687,-2.2022136523163134,2.2022136523163134,19.2565536892704,2.4565536892704003,2.4565536892704003
CamB,1.79,20.1,6.91,14.91,0.0,10,0.075,0.47,66.2,0.012,0.0,37500000.0,1596000.0000000002,39096000.0,0.0408225905463474,28168047.32965478,0.6716263496388193,68.10162272531323,23.1706068463508,0.0772530478752615,79656395.4160611,106.92393733307054,158.90215,18.7161961366672,-1.3838038633328011,1.3838038633328011,-0.5,0.9164899908059096,13.472669453592024,-6.627330546407977,6.627330546407977,18.7161961366672,-1.3838038633328011,1.3838038633328011
D512-2,0.96,22.9,4.08,14.85,0.0,10,0.325,1.24,93.94,0.081,0.0,162500000.0,10773000.0,173273000.0,0.0621735642598673,17935259.140453942,0.6478042597090035,99.56132014267736,72.17840803644253,0.0133003764715245,48218171.58166055,225.02388925486076,126.90764999999999,18.51838501826405,-4.38161498173595,4.38161498173595,-0.5,0.8839827686093782,12.5646930680034,-10.335306931996598,10.335306931996598,18.518385018264045,-4.381614981735954,4.381614981735954
D512-2,1.92,33.5,6.24,21.2,0.0,10,0.325,1.24,93.94,0.081,0.0,162500000.0,10773000.0,173273000.0,0.0621735642598673,17935259.140453942,0.6478042597090035,99.56132014267736,72.17840803644253,0.0266007529430491,123189223.38779454,143.72443651280366,263.6576,23.229475200800017,-10.270524799199984,10.270524799199984,-0.5,0.8839827686093782,17.39741727373984,-16.10258272626016,16.10258272626016,23.229475200800014,-10.270524799199986,10.270524799199986
D512-2,2.88,37.2,7.45,20.56,0.0,10,0.325,1.24,93.94,0.081,0.0,162500000.0,10773000.0,173273000.0,0.0621735642598673,17935259.140453942,0.6478042597090035,99.56132014267736,72.17840803644253,0.0399011294145737,212835594.054088,110.36201953404316,266.85929999999996,24.180610336756278,-13.019389663243729,13.019389663243729,-0.5,0.8839827686093782,17.64133674717648,-19.55866325282352,19.55866325282352,24.18061033675627,-13.019389663243732,13.019389663243732
D512-2,3.83,35.9,8.09,20.08,0.0,10,0.325,1.24,93.94,0.081,0.0,162500000.0,10773000.0,173273000.0,0.0621735642598673,17935259.140453942,0.6478042597090035,99.56132014267736,72.17840803644253,0.0530629602978532,312215446.6291328,91.54132460932335,267.05129999999997,24.852657267457506,-11.047342732542493,11.047342732542493,-0.5,0.8839827686093782,17.759351189464955,-18.140648810535044,18.140648810535044,24.852657267457506,-11.047342732542493,11.047342732542493
D564-8,0.51,8.54,3.47,6.36,0.0,10,0.033,0.61,21.13,0.029,0.0,16500000.0,3857000.000000001,20357000.0,0.1894679962666405,8707114.153511727,0.6114164596952488,175.48779835160477,46.32400999423356,0.0110094095926385,7727658.311829527,127.781479853636,32.2657,9.870879126266027,1.3308791262660282,1.3308791262660282,-0.5,0.8343285903330384,6.644345061527185,-1.8956549384728145,1.8956549384728145,9.870879126266027,1.3308791262660282,1.3308791262660282
D564-8,1.02,15.1,5.33,8.66,0.0,10,0.033,0.61,21.13,0.029,0.0,16500000.0,3857000.000000001,20357000.0,0.1894679962666405,8707114.153511727,0.6114164596952488,175.48779835160477,46.32400999423356,0.0220188191852771,19758563.852200944,81.67993546479195,65.9067,12.215573427968408,-2.884426572031593,2.884426572031593,-0.5,0.8343285903330384,8.99563421808446,-6.10436578191554,6.10436578191554,12.215573427968407,-2.884426572031593,2.884426572031593
D564-8,1.53,19.8,6.34,9.09,0.0,10,0.033,0.61,21.13,0.029,0.0,16500000.0,3857000.000000001,20357000.0,0.1894679962666405,8707114.153511727,0.6114164596952488,175.48779835160477,46.32400999423356,0.0330282287779157,34163652.86457644,62.768506233408274,81.50965,13.324618738902611,-6.475381261097388,6.475381261097388,-0.5,0.8343285903330384,9.931158064358957,-9.868841935641044,9.868841935641044,13.324618738902613,-6.475381261097388,6.475381261097388
D564-8,2.04,21.9,6.86,8.75,0.0,10,0.033,0.61,21.13,0.029,0.0,16500000.0,3857000.000000001,20357000.0,0.1894679962666405,8707114.153511727,0.6114164596952488,175.48779835160477,46.32400999423356,0.0440376383705542,50329608.74790113,52.01439772201447,85.34085,13.836553810573989,-8.063446189426012,8.063446189426012,-0.5,0.8343285903330384,10.200886807961432,-11.699113192038567,11.699113192038567,13.836553810573987,-8.063446189426012,8.063446189426012
D564-8,2.56,24.0,7.05,8.17,0.0,10,0.033,0.61,21.13,0.029,0.0,16500000.0,3857000.000000001,20357000.0,0.1894679962666405,8707114.153511727,0.6114164596952488,175.48779835160477,46.32400999423356,0.0552629187395191,68274865.22415137,44.80652627429273,83.07695,14.063486668041795,-9.936513331958205,9.936513331958205,-0.5,0.8343285903330384,10.154128633171913,-13.845871366828087,13.845871366828087,14.063486668041799,-9.936513331958201,9.936513331958201
D564-8,3.07,25.0,7.04,7.65,0.0,10,0.033,0.61,21.13,0.029,0.0,16500000.0,3857000.000000001,20357000.0,0.1894679962666405,8707114.153511727,0.6114164596952488,175.48779835160477,46.32400999423356,0.0662723283321576,87084327.69204049,39.73961058621034,78.82285,14.17121923123292,-10.82878076876708,10.82878076876708,-0.5,0.8343285903330384,9.996268383246138,-15.003731616753862,15.003731616753862,14.17121923123292,-10.82878076876708,10.82878076876708
D631-7,0.45,8.41,8.4,9.99,0.0,10,0.196,0.7,115.04,0.29,2.7,98000000.0,38570000.0,136570000.0,0.2824192721681189,44358756.28175541,0.6964750061162897,45.51417721683823,29.198441188053,0.0154117816462107,21212442.9149748,450.53238448120624,120.46005,17.977753558677534,9.567753558677534,9.567753558677534,-0.5,0.9503980484019569,11.955581682412284,3.5455816824122834,3.5455816824122834,17.977753558677534,9.567753558677534,9.567753558677534
